n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,8996,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,70558.1,574933,8996,3.92662,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.274878,0,0.274878
2,17937,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,43269.4,7.08002e+06,8941,0.758646,8996,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.273197,0,0.273197
2,17937,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,67787.6,552358,8941,7.82923,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.273197,0,0.273197
3,26875,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,42941.1,7.0263e+06,8938,1.51704,8996,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.273106,0,0.273106
3,26875,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,65034,529920,8938,11.7305,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.273106,0,0.273106
3,26875,pytorch_vgg19,130000,8111,32,J82,JJ3,17937,1.41591e+08,0.00437808,43200.5,1.81844e+08,8938,20.6896,17937,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,1.49629,0,1.49629
4,35758,pytorch_vgg19,130000,8111,32,J82,JJ3,17937,1.41591e+08,0.00437808,34262.5,1.44221e+08,8883,41.2518,17937,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,1.5933,0,1.5933
4,35758,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,60663.3,494238,8883,4.50967,26875,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.21714,0,0.21714
4,35758,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,62281.3,507490,8883,15.6078,0,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.21714,0,0.21714
4,35758,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,42613,6.97261e+06,8883,2.27076,8996,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.21714,0,0.21714
5,44726,pytorch_vgg19,130000,8111,32,J82,JJ3,17937,1.41591e+08,0.00437808,25379.5,1.0683e+08,8968,62.0109,17937,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,1.50131,0,1.50131
5,44726,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,77052.1,572518,8968,11.6389,35758,0,n1,In-house server 3,Quadro P600,3,0.44,0,0.411033,0,0.411033
5,44726,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,57927.6,471949,8968,9.06249,26875,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.137011,0,0.137011
5,44726,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,42286.8,6.91925e+06,8968,3.0317,8996,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.137011,0,0.137011
5,44726,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,59545.6,485199,8968,19.5222,0,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.137011,0,0.137011
6,53853,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,68084.1,505883,9127,23.4841,35758,0,n1,In-house server 3,Quadro P600,3,0.44,0,0.334657,0,0.334657
6,53853,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,55165.7,449447,9127,13.696,26875,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.111552,0,0.111552
6,53853,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,91048.9,387815,9127,7.18714,44726,0,n2,Standard_NC6,K80,1,0.56,0,1.41976,0,1.41976
6,53853,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,56783.6,462693,9127,23.3732,0,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.223104,0,0.223104
6,53853,pytorch_vgg19,130000,8111,32,J82,JJ3,17937,1.41591e+08,0.00437808,16411.5,6.9081e+07,9127,83.1379,17937,0,n3,In-house server 2,GTX 1080Ti,8,1.13,0,1.52793,0,1.52793
6,53853,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,41957.6,6.86537e+06,9127,3.80613,8996,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.111552,0,0.111552
7,61137.5,pytorch_resnet50,130000,3629,32,J55,JJ7,53853,3.35037e+07,0.00711637,43207.5,1.98738e+07,7284.5,16.8594,53853,0,n4,In-house server 3,Quadro P600,8,0.44,0,0.890328,0,0.890328
7,61137.5,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,58957.1,438067,7284.5,32.9381,35758,0,n2,In-house server 3,Quadro P600,3,0.44,0,0.242817,0,0.242817
7,61137.5,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,84505.1,359942,7284.5,12.9234,44726,0,n1,Standard_NC6,K80,1,0.56,0,1.13314,0,1.13314
7,61137.5,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,52354.8,426547,7284.5,17.3942,26875,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0809389,0,0.0809389
7,61137.5,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,41622.5,6.81054e+06,7284.5,4.42422,8996,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0809389,0,0.0809389
7,61137.5,pytorch_vgg19,130000,8111,32,J82,JJ3,17937,1.41591e+08,0.00437808,7284.5,3.06627e+07,7284.5,100,17937,61137.5,n3,In-house server 2,GTX 1080Ti,8,1.13,0,1.30659,0,1.30659
7,61137.5,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,54066.4,440553,7284.5,26.4468,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.161878,0,0.161878
8,62851,pytorch_resnet50,130000,3629,32,J55,JJ7,53853,3.35037e+07,0.00711637,35923,1.65232e+07,1713.5,20.8251,53853,0,n3,In-house server 3,Quadro P600,8,0.44,0,0.111695,0,0.111695
8,62851,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,50111.4,408269,1713.5,18.2641,26875,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0209427,0,0.0209427
8,62851,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,79282.3,337696,1713.5,14.4823,44726,0,n1,Standard_NV6,M60,1,0.62,0,0.295102,0,0.295102
8,62851,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,51672.6,383941,1713.5,35.1619,35758,0,n2,In-house server 3,Quadro P600,3,0.44,0,0.0628282,0,0.0628282
8,62851,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,41355,6.76678e+06,1713.5,4.56961,8996,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0209427,0,0.0209427
8,62851,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,51897.7,422881,1713.5,27.1698,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0418855,0,0.0418855
9,71982,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,41292.1,6.75649e+06,9131,5.34437,8996,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0930009,0,0.0930009
9,71982,pytorch_resnet50,130000,3629,32,J55,JJ7,53853,3.35037e+07,0.00711637,34209.5,1.57351e+07,9131,41.958,53853,0,n3,In-house server 3,Quadro P600,8,0.44,0,0.595206,0,0.595206
9,71982,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,49959.1,371209,9131,47.0124,35758,0,n1,In-house server 3,Quadro P600,3,0.44,0,0.279003,0,0.279003
9,71982,tf_alexnet,130000,410,512,J115,JJ8,62851,914761,0.00946545,65498.7,541335,9131,4.32002,62851,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0930009,0,0.0930009
9,71982,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,49583.7,403970,9131,22.8997,26875,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0930009,0,0.0930009
9,71982,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,77862.9,331650,9131,21.6726,44726,0,n2,Standard_NC6,K80,1,0.56,0,1.42038,0,1.42038
9,71982,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,51387.6,418725,9131,31.0225,0,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.186002,0,0.186002
10,81068,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,48669.2,396574,9086,34.8563,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.277628,0,0.277628
10,81068,pytorch_resnet50,130000,3629,32,J55,JJ7,53853,3.35037e+07,0.00711637,25078.5,1.15351e+07,9086,62.9868,53853,0,n3,In-house server 3,Quadro P600,8,0.44,0,0.592273,0,0.592273
10,81068,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,40956.9,6.70163e+06,9086,6.11532,8996,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.138814,0,0.138814
10,81068,tf_alexnet,130000,410,512,J115,JJ8,62851,914761,0.00946545,62669.2,517950,9086,8.45847,62851,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.158644,0,0.158644
10,81068,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,40828.1,303363,9086,50.5388,35758,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.158644,0,0.158644
10,81068,pytorch_alexnet,130000,2959,256,J26,JJ9,71982,937163,0.00393742,43214.4,1.22119e+06,9086,1.471,71982,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.277628,0,0.277628
10,81068,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,46771.6,381059,9086,27.3586,26875,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.158644,0,0.158644
10,81068,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,71316.2,303765,9086,24.0688,44726,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.158644,0,0.158644
11,90228,pytorch_resnet50,130000,3629,32,J55,JJ7,53853,3.35037e+07,0.00711637,15992.5,7.35593e+06,9160,84.1868,53853,0,n4,In-house server 3,Quadro P600,8,0.44,0,0.597096,0,0.597096
11,90228,pytorch_vgg19,130000,150,8,J71,JJ10,81068,7.95827e+06,0.0128599,43297.9,7.13035e+06,9160,0.772012,81068,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0861197,0,0.0861197
11,90228,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,40623.3,6.64705e+06,9160,6.89255,8996,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0861197,0,0.0861197
11,90228,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,44066.6,359021,9160,32.0089,26875,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0861197,0,0.0861197
11,90228,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,69134.5,294473,9160,32.4027,44726,0,n1,Standard_NV6,M60,1,0.62,0,1.57756,0,1.57756
11,90228,tf_alexnet,130000,410,512,J115,JJ8,62851,914761,0.00946545,59958.5,495547,9160,12.7922,62851,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0861197,0,0.0861197
11,90228,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,38110.9,283174,9160,54.0939,35758,0,n3,In-house server 1,Quadro P600,2,0.11,0,0.279889,0,0.279889
11,90228,pytorch_alexnet,130000,2959,256,J26,JJ9,71982,937163,0.00393742,42578.7,1.20323e+06,9160,2.95397,71982,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.172239,0,0.172239
11,90228,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,45964.2,374533,9160,38.8545,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0861197,0,0.0861197
12,97060.5,pytorch_resnet50,130000,3629,32,J55,JJ7,53853,3.35037e+07,0.00711637,6832.47,3.14268e+06,6832.47,100,53853,97060.5,n5,In-house server 3,Quadro P600,8,0.44,0,0.83508,0,0.83508
12,97060.5,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,40287,6.59202e+06,6832.47,7.47229,8996,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0596486,0,0.0596486
12,97060.5,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,43143.2,351546,6832.47,41.8367,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0596486,0,0.0596486
12,97060.5,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,61546.6,262153,6832.47,34.2045,44726,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.119297,0,0.119297
12,97060.5,pytorch_vgg19,130000,150,8,J71,JJ10,81068,7.95827e+06,0.0128599,42963.7,7.07531e+06,6832.47,5.54647,81068,0,n4,In-house server 2,GTX 1080Ti,8,1.13,0,1.42976,0,1.42976
12,97060.5,tf_alexnet,130000,366,512,J95,JJ11,90228,273719,0.00574637,58474,483260,6832.47,9.20232,90228,0,n1,Standard_NC6,K80,1,0.56,0,1.06283,0,1.06283
12,97060.5,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,41245.6,336037,6832.47,35.4776,26875,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0596486,0,0.0596486
12,97060.5,tf_alexnet,130000,410,512,J115,JJ8,62851,914761,0.00946545,57120,472087,6832.47,16.0248,62851,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0596486,0,0.0596486
12,97060.5,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,35371.6,262821,6832.47,56.7457,35758,0,n3,In-house server 1,Quadro P600,2,0.11,0,0.20877,0,0.20877
12,97060.5,pytorch_alexnet,130000,2959,256,J26,JJ9,71982,937163,0.00393742,41937.9,1.18512e+06,6832.47,4.06013,71982,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.119297,0,0.119297
13,99188,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,59906.1,255165,2127.53,34.7656,44726,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0520063,0,0.0520063
13,99188,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,40036.2,6.55098e+06,2127.53,7.65281,8996,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0216693,0,0.0216693
13,99188,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,41038.9,334400,2127.53,42.7344,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0520063,0,0.0520063
13,99188,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,39141.4,318894,2127.53,36.5577,26875,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0216693,0,0.0216693
13,99188,pytorch_vgg19,130000,150,8,J71,JJ10,81068,7.95827e+06,0.0128599,40896.4,6.73487e+06,2127.53,7.03317,81068,0,n3,In-house server 2,GTX 1080Ti,8,1.13,0,0.410959,0,0.410959
13,99188,tf_alexnet,130000,366,512,J95,JJ11,90228,273719,0.00574637,53093.1,438789,2127.53,10.3297,90228,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0216693,0,0.0216693
13,99188,tf_alexnet,130000,410,512,J115,JJ8,62851,914761,0.00946545,55002.7,454588,2127.53,16.9938,62851,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.0433386,0,0.0433386
13,99188,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,33328.4,247639,2127.53,59.5068,35758,0,n1,In-house server 3,Quadro P600,3,0.44,0,0.0650078,0,0.0650078
13,99188,pytorch_alexnet,130000,2959,256,J26,JJ9,71982,937163,0.00393742,41459.8,1.17161e+06,2127.53,4.40457,71982,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0520063,0,0.0520063
14,107886,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,39958,6.5382e+06,8698,8.39084,8996,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.132886,0,0.132886
14,107886,pytorch_vgg19,130000,150,8,J86,JJ12,99188,1.13462e+07,0.00875365,43216.1,7.13123e+06,8698,0.733064,99188,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.132886,0,0.132886
14,107886,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,40405.5,329239,8698,46.531,0,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0708726,0,0.0708726
14,107886,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,38486.2,313556,8698,40.9734,26875,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0708726,0,0.0708726
14,107886,pytorch_vgg19,130000,150,8,J71,JJ10,81068,7.95827e+06,0.0128599,40252.7,6.62886e+06,8698,13.1112,81068,0,n3,In-house server 2,GTX 1080Ti,8,1.13,0,2.73021,0,2.73021
14,107886,tf_alexnet,130000,366,512,J95,JJ11,90228,273719,0.00574637,52433.8,433340,8698,14.9389,90228,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0708726,0,0.0708726
14,107886,pytorch_alexnet,130000,2959,256,J26,JJ9,71982,937163,0.00393742,41311,1.1674e+06,8698,24.5321,71982,0,n2,In-house server 3,Quadro P600,4,0.44,0,0.531544,0,0.531544
14,107886,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,31200.8,231831,8698,62.8826,35758,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.141745,0,0.141745
14,107886,tf_alexnet,130000,410,512,J115,JJ8,62851,914761,0.00946545,54368,449342,8698,20.9555,62851,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.141745,0,0.141745
14,107886,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,59395.2,252989,8698,37.0084,44726,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0708726,0,0.0708726
15,116955,pytorch_vgg19,130000,150,8,J86,JJ12,99188,1.13462e+07,0.00875365,42899.3,7.07896e+06,9069,7.072,99188,0,n5,In-house server 2,GTX 1080Ti,8,1.13,0,2.84666,0,2.84666
15,116955,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,39638.7,6.48594e+06,9069,14.7655,8996,0,n4,In-house server 2,GTX 1080Ti,8,1.13,0,1.62666,0,1.62666
15,116955,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,37726.8,307411,9069,50.3575,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.277108,0,0.277108
15,116955,tf_resnet50,130000,88,32,J139,JJ13,107886,404809,0.00740482,73911.4,412607,9069,6.3671,107886,0,n3,Standard_NV6,M60,1,0.62,0,1.56188,0,1.56188
15,116955,pytorch_vgg19,130000,150,8,J71,JJ10,81068,7.95827e+06,0.0128599,37621,6.19548e+06,9069,13.8756,81068,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.138554,0,0.138554
15,116955,tf_alexnet,130000,366,512,J95,JJ11,90228,273719,0.00574637,49738.7,411066,9069,19.7446,90228,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0923694,0,0.0923694
15,116955,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,35807.4,291731,9069,45.4241,26875,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.184739,0,0.184739
15,116955,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,57353.2,244291,9069,39.3469,44726,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0923694,0,0.0923694
15,116955,pytorch_alexnet,130000,2959,256,J26,JJ9,71982,937163,0.00393742,32613,921606,9069,26.0004,71982,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.277108,0,0.277108
15,116955,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,28599.7,212504,9069,74.6526,35758,0,n1,In-house server 3,Quadro P600,3,0.44,0,0.277108,0,0.277108
15,116955,tf_alexnet,130000,410,512,J115,JJ8,62851,914761,0.00946545,51773.1,427896,9069,25.2462,62851,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0923694,0,0.0923694
16,126026,pytorch_vgg19,130000,150,8,J86,JJ12,99188,1.13462e+07,0.00875365,40159.9,6.62691e+06,9071,7.8365,99188,0,n3,In-house server 3,Quadro P600,1,0.44,0,0.100789,0,0.100789
16,126026,tf_alexnet,130000,410,512,J115,JJ8,62851,914761,0.00946545,48962.8,404669,9071,29.3778,62851,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.18478,0,0.18478
16,126026,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,19530.7,145118,9071,86.4251,35758,0,n1,In-house server 3,Quadro P600,3,0.44,0,0.277169,0,0.277169
16,126026,pytorch_alexnet,130000,2959,256,J26,JJ9,71982,937163,0.00393742,31978.5,903676,9071,46.991,71982,0,n3,In-house server 3,Quadro P600,4,0.44,0,0.403156,0,0.403156
16,126026,tf_resnet50,130000,88,32,J139,JJ13,107886,404809,0.00740482,69205.4,386336,9071,12.7356,107886,0,n2,Standard_NV6,M60,1,0.62,0,1.56223,0,1.56223
16,126026,tf_alexnet,130000,366,512,J95,JJ11,90228,273719,0.00574637,46928.5,387842,9071,24.5515,90228,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0923898,0,0.0923898
16,126026,pytorch_vgg19,130000,150,8,J71,JJ10,81068,7.95827e+06,0.0128599,37290.1,6.14098e+06,9071,14.6401,81068,0,n3,In-house server 3,Quadro P600,1,0.44,0,0.100789,0,0.100789
16,126026,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,55224,235222,9071,41.7391,44726,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.18478,0,0.18478
16,126026,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,33107.6,269735,9071,50.0292,26875,0,n3,In-house server 3,Quadro P600,1,0.44,0,0.100789,0,0.100789
16,126026,tf_vgg19,130000,14,32,J158,JJ14,116955,1.13795e+06,0.00646821,45376,684978,9071,2.01447,116955,0,n3,In-house server 3,Quadro P600,1,0.44,0,0.100789,0,0.100789
16,126026,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,36880.4,6.03462e+06,9071,21.1416,8996,0,n4,In-house server 2,GTX 1080Ti,8,1.13,0,1.62702,0,1.62702
16,126026,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,35026.8,285411,9071,54.1849,0,0,n5,In-house server 1,Quadro P600,2,0.11,0,0.277169,0,0.277169
17,135251,pytorch_vgg19,130000,150,8,J86,JJ12,99188,1.13462e+07,0.00875365,39829.5,6.5724e+06,9225,8.61398,99188,0,n4,In-house server 3,Quadro P600,1,0.44,0,0.0867308,0,0.0867308
17,135251,pytorch_vgg19,130000,150,8,J71,JJ10,81068,7.95827e+06,0.0128599,36959.1,6.08646e+06,9225,15.4176,81068,0,n4,In-house server 3,Quadro P600,1,0.44,0,0.0867308,0,0.0867308
17,135251,tf_resnet50,130000,88,32,J139,JJ13,107886,404809,0.00740482,64498.3,360059,9225,19.2122,107886,0,n3,Standard_NV6,M60,1,0.62,0,1.58875,0,1.58875
17,135251,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,53045.9,225945,9225,44.1178,44726,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0939583,0,0.0939583
17,135251,pytorch_resnet50,130000,47,8,J57,JJ15,126026,287740,0.00551296,80870.9,298475,9225,8.39588,126026,0,n1,Standard_NC6,K80,1,0.56,0,1.435,0,1.435
17,135251,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,30313.9,246975,9225,54.7125,26875,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0939583,0,0.0939583
17,135251,tf_alexnet,130000,366,512,J95,JJ11,90228,273719,0.00574637,44117.8,364612,9225,29.4399,90228,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0939583,0,0.0939583
17,135251,pytorch_alexnet,130000,1497,1024,J32,JJ5,35758,541939,0.0133105,10459.7,77718.5,9225,98.3976,35758,0,n2,In-house server 3,Quadro P600,3,0.44,0,0.281875,0,0.281875
17,135251,pytorch_alexnet,130000,2959,256,J26,JJ9,71982,937163,0.00393742,22907.5,647340,9225,48.4845,71982,0,n4,In-house server 3,Quadro P600,2,0.44,0,0.173462,0,0.173462
17,135251,tf_alexnet,130000,410,512,J115,JJ8,62851,914761,0.00946545,46256.6,382303,9225,33.5796,62851,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.187917,0,0.187917
17,135251,tf_vgg19,130000,14,32,J158,JJ14,116955,1.13795e+06,0.00646821,44461.9,671180,9225,4.06315,116955,0,n4,In-house server 3,Quadro P600,1,0.44,0,0.0867308,0,0.0867308
17,135251,pytorch_vgg19,130000,149,8,J65,JJ2,8996,7.21488e+06,0.0108931,34121.5,5.58319e+06,9225,27.6259,8996,0,n5,In-house server 2,GTX 1080Ti,8,1.13,0,2.89562,0,2.89562
17,135251,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,32326.3,263406,9225,58.0773,0,0,n4,In-house server 3,Quadro P600,2,0.44,0,0.173462,0,0.173462
18,136486,pytorch_vgg19,130000,150,8,J71,JJ10,81068,7.95827e+06,0.0128599,36622.4,6.03102e+06,1234.71,15.5216,81068,0,n5,In-house server 3,Quadro P600,1,0.44,0,0.0251515,0,0.0251515
18,136486,pytorch_vgg19,130000,150,8,J86,JJ12,99188,1.13462e+07,0.00875365,39493.5,6.51695e+06,1234.71,8.71804,99188,0,n4,In-house server 3,Quadro P600,1,0.44,0,0.0107792,0,0.0107792
18,136486,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,29579.9,241028,1234.71,58.6162,0,0,n4,In-house server 3,Quadro P600,1,0.44,0,0.0107792,0,0.0107792
18,136486,tf_alexnet,130000,343,256,J90,JJ4,26875,403163,0.00685291,27472.9,223828,1234.71,55.3184,26875,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.027438,0,0.027438
18,136486,pytorch_resnet50,130000,47,8,J57,JJ15,126026,287740,0.00551296,74081.1,273416,1234.71,9.51962,126026,0,n1,Standard_NC6,K80,1,0.56,0,0.192066,0,0.192066
18,136486,tf_alexnet,130000,366,512,J95,JJ11,90228,273719,0.00574637,41259.3,340989,1234.71,30.0942,90228,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.013719,0,0.013719
18,136486,tf_resnet50,130000,103,16,J146,JJ16,135251,872503,0.00641383,121928,587731,1234.71,0.212048,135251,0,n4,In-house server 3,Quadro P600,2,0.44,0,0.0215584,0,0.0215584
18,136486,tf_resnet50,130000,88,32,J139,JJ13,107886,404809,0.00740482,59711.4,333336,1234.71,20.0791,107886,0,n3,Standard_NV6,M60,1,0.62,0,0.212644,0,0.212644
18,136486,tf_resnet50,130000,50,8,J133,JJ6,44726,374230,0.0136955,50880.1,216720,1234.71,44.4434,44726,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.027438,0,0.027438
